# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
63.1090,85.9670,0.0000,0.500000,0.500000,0.500000,0.500000,60.0000,0.000000,0.000000,travel,0,27
64.2020,85.2340,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.141140,6.088691,extrusion,1,31
65.4070,84.6460,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.143800,6.434921,extrusion,1,32
66.7770,84.2060,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.154320,6.434812,extrusion,1,33
68.0960,83.9810,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.143510,6.435171,extrusion,1,34
98.4670,82.1090,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,3.263460,6.434977,extrusion,1,35
100.4110,82.0640,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.208550,6.435005,extrusion,1,36
102.0730,82.1360,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.178420,6.435120,extrusion,1,37
103.8530,82.3320,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.192060,6.435039,extrusion,1,38
105.6020,82.6430,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.190520,6.434910,extrusion,1,39
107.3930,83.0880,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.197920,6.434834,extrusion,1,40
110.4350,84.1580,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.345850,6.435025,extrusion,1,41
112.1290,84.9440,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.200290,6.435135,extrusion,1,42
113.5630,85.7260,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.175180,6.435060,extrusion,1,43
115.0850,86.6890,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.193160,6.434842,extrusion,1,44
116.4210,87.6590,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.177070,6.435015,extrusion,1,45
117.7900,88.7960,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.190860,6.434976,extrusion,1,46
119.0860,90.0270,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.191700,6.434866,extrusion,1,47
120.2750,91.3180,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.188230,6.434820,extrusion,1,48
121.4500,92.7810,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.201250,6.435088,extrusion,1,49
122.4120,94.1580,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.180150,6.434871,extrusion,1,50
123.3200,95.6630,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.188510,6.434908,extrusion,1,51
123.6930,96.4490,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.093310,6.435066,extrusion,1,52
124.0530,97.4740,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.116510,6.434755,extrusion,1,53
124.2750,98.4460,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.106930,6.434914,extrusion,1,54
124.3990,99.5660,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.120850,6.434790,extrusion,1,55
124.3960,100.4910,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.099210,6.435209,extrusion,1,56
124.2880,101.4820,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.106910,6.434756,extrusion,1,57
124.0600,102.4970,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.111570,6.434919,extrusion,1,58
123.7210,103.4810,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.111620,6.434926,extrusion,1,59
123.2590,104.4490,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.115040,6.435212,extrusion,1,60
122.3970,105.8660,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.177880,6.434849,extrusion,1,61
120.6270,108.2650,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.319740,6.434929,extrusion,1,62
118.6270,110.4280,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.315950,6.434956,extrusion,1,63
116.4110,112.3490,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.314530,6.434895,extrusion,1,64
114.5500,113.6660,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.244520,6.435102,extrusion,1,65
112.6650,114.7770,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.234670,6.435056,extrusion,1,66
110.5560,115.7900,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.250930,6.435013,extrusion,1,67
108.6090,116.5340,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.223540,6.434938,extrusion,1,68
106.3800,117.1800,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.248900,6.435063,extrusion,1,69
104.3020,117.6000,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.227370,6.434940,extrusion,1,70
102.2070,117.8530,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.226320,6.434965,extrusion,1,71
99.9740,117.9390,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.239670,6.435086,extrusion,1,72
67.6650,115.9650,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,3.471590,6.434978,extrusion,1,73
65.8900,115.5350,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.195870,6.434830,extrusion,1,74
64.3070,114.8260,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.186030,6.435083,extrusion,1,75
62.7100,113.7060,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.209200,6.434970,extrusion,1,76
62.1290,113.1600,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.085510,6.435020,extrusion,1,77
61.3430,112.2480,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.129130,6.435219,extrusion,1,78
60.5750,111.0660,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.151180,6.435056,extrusion,1,79
59.9800,109.7690,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.153040,6.434908,extrusion,1,80
59.6160,108.5640,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.135000,6.434814,extrusion,1,81
59.4030,107.2820,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.139380,6.435031,extrusion,1,82
59.3500,106.2680,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.108900,6.435003,extrusion,1,83
59.3870,92.8850,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,1.435330,6.434990,extrusion,1,84
59.5700,91.6430,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.134640,6.434872,extrusion,1,85
59.7790,90.8290,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.090130,6.434771,extrusion,1,86
60.5180,89.0380,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.207790,6.434876,extrusion,1,87
61.1950,87.9520,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.137250,6.434919,extrusion,1,88
61.6720,87.3420,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.083050,6.435015,extrusion,1,89
63.1090,85.9670,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.213310,6.435119,extrusion,1,90
63.4960,86.4370,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.000000,0.000000,travel,2,91
63.5960,86.3540,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.013940,6.435941,extrusion,3,92
64.6360,85.6820,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.132800,6.435054,extrusion,3,93
65.7650,85.1540,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.133670,6.434874,extrusion,3,94
66.9150,84.7940,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.129240,6.435021,extrusion,3,95
68.1530,84.5820,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.134710,6.435085,extrusion,3,96
98.5040,82.7120,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,3.261310,6.434986,extrusion,3,97
100.4070,82.6670,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.204150,6.434880,extrusion,3,98
102.0240,82.7380,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.173590,6.434987,extrusion,3,99
103.7660,82.9290,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.187950,6.435029,extrusion,3,100
105.4740,83.2330,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.186060,6.434934,extrusion,3,101
107.2320,83.6700,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.194280,6.434887,extrusion,3,102
110.1970,84.7120,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.337060,6.434965,extrusion,3,103
111.8590,85.4830,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.196500,6.435148,extrusion,3,104
113.2540,86.2450,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.170480,6.435029,extrusion,3,105
114.7470,87.1890,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.189450,6.435106,extrusion,3,106
116.0540,88.1380,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.173230,6.435019,extrusion,3,107
117.3890,89.2470,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.186140,6.435108,extrusion,3,108
118.6580,90.4530,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.187760,6.435073,extrusion,3,109
119.8160,91.7100,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.183300,6.434977,extrusion,3,110
120.9680,93.1440,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.197280,6.435078,extrusion,3,111
121.9070,94.4870,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.175750,6.434940,extrusion,3,112
122.7880,95.9490,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.183070,6.435067,extrusion,3,113
123.4730,97.6430,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.195970,6.434898,extrusion,3,114
123.6810,98.5510,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.099910,6.435294,extrusion,3,115
123.7980,99.6430,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.117790,6.435147,extrusion,3,116
123.7710,100.7660,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.120480,6.435184,extrusion,3,117
123.6490,101.6270,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.093260,6.434679,extrusion,3,118
123.3550,102.7360,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.123050,6.435060,extrusion,3,119
123.0520,103.5110,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.089250,6.435322,extrusion,3,120
122.6250,104.3450,0.4500,0.500000,0.500000,0.500000,0.500000,60.0000,0.100490,6.435100,extrusion,3,121
