# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
-684.8910,-164.0330,-530.5000,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.000000,0.000000,travel,0,27
-683.7980,-164.7660,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.141140,6.088691,extrusion,1,31
-682.5930,-165.3540,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.143800,6.434921,extrusion,1,32
-681.2230,-165.7940,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.154320,6.434812,extrusion,1,33
-679.9040,-166.0190,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.143510,6.435171,extrusion,1,34
-649.5330,-167.8910,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,3.263460,6.434977,extrusion,1,35
-647.5890,-167.9360,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.208550,6.435005,extrusion,1,36
-645.9270,-167.8640,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.178420,6.435120,extrusion,1,37
-644.1470,-167.6680,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.192060,6.435039,extrusion,1,38
-642.3980,-167.3570,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.190520,6.434910,extrusion,1,39
-640.6070,-166.9120,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.197920,6.434834,extrusion,1,40
-637.5650,-165.8420,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.345850,6.435025,extrusion,1,41
-635.8710,-165.0560,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.200290,6.435135,extrusion,1,42
-634.4370,-164.2740,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.175180,6.435060,extrusion,1,43
-632.9150,-163.3110,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.193160,6.434842,extrusion,1,44
-631.5790,-162.3410,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.177070,6.435015,extrusion,1,45
-630.2100,-161.2040,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.190860,6.434976,extrusion,1,46
-628.9140,-159.9730,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.191700,6.434866,extrusion,1,47
-627.7250,-158.6820,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.188230,6.434820,extrusion,1,48
-626.5500,-157.2190,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.201250,6.435088,extrusion,1,49
-625.5880,-155.8420,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.180150,6.434871,extrusion,1,50
-624.6800,-154.3370,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.188510,6.434908,extrusion,1,51
-624.3070,-153.5510,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.093310,6.435066,extrusion,1,52
-623.9470,-152.5260,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.116510,6.434755,extrusion,1,53
-623.7250,-151.5540,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.106930,6.434914,extrusion,1,54
-623.6010,-150.4340,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.120850,6.434790,extrusion,1,55
-623.6040,-149.5090,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.099210,6.435209,extrusion,1,56
-623.7120,-148.5180,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.106910,6.434756,extrusion,1,57
-623.9400,-147.5030,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.111570,6.434919,extrusion,1,58
-624.2790,-146.5190,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.111620,6.434926,extrusion,1,59
-624.7410,-145.5510,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.115040,6.435212,extrusion,1,60
-625.6030,-144.1340,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.177880,6.434849,extrusion,1,61
-627.3730,-141.7350,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.319740,6.434929,extrusion,1,62
-629.3730,-139.5720,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.315950,6.434956,extrusion,1,63
-631.5890,-137.6510,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.314530,6.434895,extrusion,1,64
-633.4500,-136.3340,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.244520,6.435102,extrusion,1,65
-635.3350,-135.2230,-530.0500,0.500000,-0.500000,-0.500000,0.500000,60.0000,0.234670,6.435056,extrusion,1,66
