# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
6.5110,9.7380,0.0000,0.500000,0.500000,0.500000,0.500000,900.0000,0.000000,0.000000,travel,0,27
6.7820,9.5570,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.034950,56.613495,extrusion,1,31
7.9800,8.9740,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.142890,96.523662,extrusion,1,32
9.3370,8.5390,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.152830,96.523046,extrusion,1,33
10.6490,8.3150,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.142750,96.526286,extrusion,1,34
40.3810,6.4820,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,3.194800,96.524662,extrusion,1,35
42.2950,6.4370,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.205330,96.523483,extrusion,1,36
43.9340,6.5080,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.175950,96.526314,extrusion,1,37
45.6870,6.7010,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.189140,96.522305,extrusion,1,38
47.4100,7.0070,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.187680,96.523270,extrusion,1,39
49.1720,7.4450,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.194730,96.527181,extrusion,1,40
52.1700,8.4990,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.340830,96.525677,extrusion,1,41
53.8360,9.2720,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.196970,96.522587,extrusion,1,42
55.2510,10.0440,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.172880,96.527314,extrusion,1,43
56.7480,10.9910,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.189980,96.524268,extrusion,1,44
58.0650,11.9470,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.174540,96.525852,extrusion,1,45
59.4150,13.0680,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.188200,96.526674,extrusion,1,46
60.6900,14.2790,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.188590,96.523081,extrusion,1,47
61.8620,15.5520,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.185580,96.524950,extrusion,1,48
63.0190,16.9920,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.198110,96.522497,extrusion,1,49
63.9670,18.3480,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.177450,96.526422,extrusion,1,50
64.8630,19.8340,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.186100,96.523406,extrusion,1,51
65.2340,20.6160,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.092830,96.525513,extrusion,1,52
65.5930,21.6380,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.116180,96.528891,extrusion,1,53
65.8150,22.6070,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.106620,96.527015,extrusion,1,54
65.9380,23.7220,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.120310,96.525669,extrusion,1,55
65.9350,24.6440,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.098880,96.520096,extrusion,1,56
