# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
-741.4890,-240.2620,-531.5000,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.000000,0.000000,travel,0,27
-741.2180,-240.4430,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.034950,56.613495,extrusion,1,31
-740.0200,-241.0260,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.142890,96.523662,extrusion,1,32
-738.6630,-241.4610,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.152830,96.523046,extrusion,1,33
-737.3510,-241.6850,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.142750,96.526286,extrusion,1,34
-707.6190,-243.5180,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.194800,96.524662,extrusion,1,35
-705.7050,-243.5630,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.205330,96.523483,extrusion,1,36
-704.0660,-243.4920,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.175950,96.526314,extrusion,1,37
-702.3130,-243.2990,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.189140,96.522305,extrusion,1,38
-700.5900,-242.9930,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.187680,96.523270,extrusion,1,39
-698.8280,-242.5550,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.194730,96.527181,extrusion,1,40
-695.8300,-241.5010,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.340830,96.525677,extrusion,1,41
-694.1640,-240.7280,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.196970,96.522587,extrusion,1,42
-692.7490,-239.9560,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.172880,96.527314,extrusion,1,43
-691.2520,-239.0090,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.189980,96.524268,extrusion,1,44
-689.9350,-238.0530,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.174540,96.525852,extrusion,1,45
-688.5850,-236.9320,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.188200,96.526674,extrusion,1,46
-687.3100,-235.7210,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.188590,96.523081,extrusion,1,47
-686.1380,-234.4480,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.185580,96.524950,extrusion,1,48
-684.9810,-233.0080,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.198110,96.522497,extrusion,1,49
-684.0330,-231.6520,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.177450,96.526422,extrusion,1,50
-683.1370,-230.1660,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.186100,96.523406,extrusion,1,51
-682.7660,-229.3840,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.092830,96.525513,extrusion,1,52
-682.4070,-228.3620,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.116180,96.528891,extrusion,1,53
-682.1850,-227.3930,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.106620,96.527015,extrusion,1,54
-682.0620,-226.2780,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.120310,96.525669,extrusion,1,55
-682.0650,-225.3560,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.098880,96.520096,extrusion,1,56
-682.1730,-224.3680,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.106590,96.521198,extrusion,1,57
-682.3990,-223.3580,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.111000,96.523947,extrusion,1,58
-682.7380,-222.3760,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.111420,96.526296,extrusion,1,59
-683.1980,-221.4130,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.114460,96.525109,extrusion,1,60
-684.0480,-220.0160,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.175380,96.523491,extrusion,1,61
-685.7910,-217.6520,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.315000,96.523846,extrusion,1,62
-687.7620,-215.5220,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.311240,96.524370,extrusion,1,63
-689.9440,-213.6300,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.309740,96.524211,extrusion,1,64
-691.7780,-212.3320,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.240970,96.522893,extrusion,1,65
-693.6350,-211.2380,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.231150,96.522870,extrusion,1,66
-695.7110,-210.2400,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.247040,96.523968,extrusion,1,67
-697.6300,-209.5080,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.220280,96.526036,extrusion,1,68
-699.8240,-208.8720,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.244990,96.523561,extrusion,1,69
-701.8720,-208.4580,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.224090,96.524607,extrusion,1,70
-703.9370,-208.2090,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.223080,96.526941,extrusion,1,71
-706.1340,-208.1250,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.235800,96.524831,extrusion,1,72
-737.7830,-210.0590,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.400680,96.524805,extrusion,1,73
-739.5480,-210.4870,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.194780,96.523846,extrusion,1,74
-741.1240,-211.1930,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.185210,96.524528,extrusion,1,75
-742.7180,-212.3120,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.208880,96.526847,extrusion,1,76
-744.0770,-213.7630,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.213220,96.526484,extrusion,1,77
-744.8410,-214.9410,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.150580,96.521626,extrusion,1,78
-745.4290,-216.2270,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.151660,96.526934,extrusion,1,79
-745.7910,-217.4250,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.134220,96.522704,extrusion,1,80
-746.0030,-218.7010,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.138730,96.527120,extrusion,1,81
-746.0550,-219.7100,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.108360,96.526013,extrusion,1,82
-746.0180,-232.8280,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,1.406910,96.524925,extrusion,1,83
-745.8360,-234.0620,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.133780,96.526298,extrusion,1,84
-745.6290,-234.8690,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.089350,96.522079,extrusion,1,85
-744.8940,-236.6510,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.206740,96.525895,extrusion,1,86
-744.2160,-237.7380,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.137400,96.525370,extrusion,1,87
-743.7450,-238.3410,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.082060,96.522623,extrusion,1,88
-742.3040,-239.7170,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.213690,96.524881,extrusion,1,89
-741.4890,-240.2620,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.105150,96.523622,extrusion,1,90
-741.1540,-239.7620,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.000000,0.000000,travel,2,91
-740.9210,-239.9180,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.030070,96.515176,extrusion,3,92
-739.7990,-240.4650,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.133870,96.522616,extrusion,3,93
-738.5260,-240.8730,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.143370,96.524902,extrusion,3,94
-737.2940,-241.0840,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.134060,96.527988,extrusion,3,95
-707.5820,-242.9160,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.192660,96.524889,extrusion,3,96
-705.7090,-242.9600,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.200930,96.522756,extrusion,3,97
-704.1150,-242.8900,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.171120,96.524286,extrusion,3,98
-702.4010,-242.7020,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.184930,96.525531,extrusion,3,99
-700.7180,-242.4030,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.183330,96.525957,extrusion,3,100
-698.9890,-241.9730,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.191080,96.523031,extrusion,3,101
-696.0680,-240.9460,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.332080,96.526052,extrusion,3,102
-694.4340,-240.1890,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.193140,96.525248,extrusion,3,103
-693.0580,-239.4370,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.168180,96.526863,extrusion,3,104
-691.5890,-238.5090,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.186350,96.522802,extrusion,3,105
-690.3020,-237.5740,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.170610,96.524099,extrusion,3,106
-688.9860,-236.4810,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.183470,96.523472,extrusion,3,107
-687.7380,-235.2940,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.184720,96.524204,extrusion,3,108
-686.5970,-234.0560,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.180570,96.526812,extrusion,3,109
-685.4630,-232.6450,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.194150,96.527228,extrusion,3,110
-684.5380,-231.3220,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.173130,96.523145,extrusion,3,111
-683.6690,-229.8800,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.180570,96.526812,extrusion,3,112
-682.9860,-228.1930,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.195200,96.526627,extrusion,3,113
-682.7790,-227.2880,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.099570,96.527071,extrusion,3,114
-682.6650,-226.2510,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.111890,96.526487,extrusion,3,115
-682.6680,-225.3870,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.092660,96.520251,extrusion,3,116
-682.8040,-224.2660,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.121110,96.525951,extrusion,3,117
-683.3210,-222.5440,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.192830,96.525696,extrusion,3,118
-683.7280,-221.7010,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.100400,96.527334,extrusion,3,119
-684.6120,-220.2550,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.181770,96.526014,extrusion,3,120
-686.4130,-217.8490,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.322330,96.525213,extrusion,3,121
-688.4030,-215.7430,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.310750,96.523843,extrusion,3,122
-690.5670,-213.9130,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.303950,96.524669,extrusion,3,123
-692.2370,-212.7550,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.217950,96.523155,extrusion,3,124
-693.9940,-211.7310,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.218110,96.526712,extrusion,3,125
-695.9510,-210.7940,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.232710,96.526759,extrusion,3,126
-697.8780,-210.0610,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.221120,96.526042,extrusion,3,127
-699.9690,-209.4580,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.233400,96.525611,extrusion,3,128
-701.9690,-209.0540,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.218830,96.523908,extrusion,3,129
-703.9840,-208.8110,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.217670,96.522985,extrusion,3,130
-706.1340,-208.7280,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.230760,96.525309,extrusion,3,131
-737.6910,-210.6560,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.390790,96.524744,extrusion,3,132
-739.3500,-211.0570,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.183050,96.524128,extrusion,3,133
-740.8330,-211.7220,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.174310,96.524676,extrusion,3,134
-742.3190,-212.7650,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.194710,96.523753,extrusion,3,135
-743.5930,-214.1250,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.199860,96.524211,extrusion,3,136
-744.3100,-215.2280,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.141090,96.522397,extrusion,3,137
-744.8620,-216.4330,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.142150,96.524373,extrusion,3,138
-745.2030,-217.5590,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.126180,96.525121,extrusion,3,139
-745.4020,-218.7570,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.130250,96.527918,extrusion,3,140
-745.4180,-232.7720,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,1.503110,96.525017,extrusion,3,141
-745.0500,-234.6990,-531.0500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.210410,96.527013,extrusion,3,142
