# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
574.0390,75.4350,78.5000,0.500000,0.500000,0.500000,0.500000,97.5000,0.000000,0.0000,travel,0,26
575.8200,73.7630,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275790,4.1636,extrusion,1,31
578.0430,72.7510,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275750,4.2336,extrusion,1,32
580.0000,72.4910,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.222880,4.2336,extrusion,1,33
620.0000,72.4910,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,4.515780,4.2335,extrusion,1,34
622.4100,72.8890,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275760,4.2335,extrusion,1,35
624.5650,74.0390,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275760,4.2335,extrusion,1,36
626.2370,75.8200,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275790,4.2336,extrusion,1,37
627.2490,78.0430,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275750,4.2336,extrusion,1,38
627.5090,80.0000,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.222880,4.2336,extrusion,1,39
627.5090,120.0000,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,4.515780,4.2335,extrusion,1,40
627.1110,122.4100,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275760,4.2335,extrusion,1,41
625.9610,124.5650,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275760,4.2335,extrusion,1,42
624.1800,126.2370,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275790,4.2336,extrusion,1,43
621.9570,127.2490,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275750,4.2336,extrusion,1,44
620.0000,127.5090,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.222880,4.2336,extrusion,1,45
580.0000,127.5090,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,4.515780,4.2335,extrusion,1,46
577.5900,127.1110,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275760,4.2335,extrusion,1,47
575.4350,125.9610,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275760,4.2335,extrusion,1,48
573.7630,124.1800,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275790,4.2336,extrusion,1,49
572.7510,121.9570,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275750,4.2336,extrusion,1,50
572.4910,120.0000,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.222880,4.2336,extrusion,1,51
572.4910,80.0000,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,4.515780,4.2335,extrusion,1,52
572.8890,77.5900,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275760,4.2335,extrusion,1,53
574.0390,75.4350,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.275760,4.2335,extrusion,1,54
574.5860,75.7420,78.9500,0.500000,0.500000,0.500000,0.500000,97.5000,0.000000,0.0000,travel,2,56
574.6380,75.6500,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.011930,4.2333,extrusion,3,58
576.4000,74.1080,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.264340,4.2336,extrusion,3,59
578.5760,73.2430,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.264360,4.2336,extrusion,3,60
580.0000,73.0950,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.161630,4.2336,extrusion,3,61
620.0000,73.0950,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,4.515780,4.2335,extrusion,3,62
622.3080,73.4920,78.9500,0.500000,0.500000,0.500000,0.500000,37.5000,0.264390,4.2336,extrusion,3,63
