# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
374.0390,75.4350,100.0000,0.500000,0.500000,0.500000,0.500000,3120.0000,0.000000,0.000000,travel,0,26
375.8200,73.7630,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275790,133.234162,extrusion,1,31
378.0430,72.7510,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275750,135.475189,extrusion,1,32
380.0000,72.4910,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.222880,135.475925,extrusion,1,33
420.0000,72.4910,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,4.515780,135.473400,extrusion,1,34
422.4100,72.8890,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275760,135.472938,extrusion,1,35
424.5650,74.0390,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275760,135.472699,extrusion,1,36
426.2370,75.8200,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275790,135.475858,extrusion,1,37
427.2490,78.0430,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275750,135.475189,extrusion,1,38
427.5090,80.0000,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.222880,135.475925,extrusion,1,39
427.5090,120.0000,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,4.515780,135.473400,extrusion,1,40
427.1110,122.4100,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275760,135.472938,extrusion,1,41
425.9610,124.5650,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275760,135.472699,extrusion,1,42
424.1800,126.2370,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275790,135.475858,extrusion,1,43
421.9570,127.2490,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275750,135.475189,extrusion,1,44
420.0000,127.5090,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.222880,135.475925,extrusion,1,45
380.0000,127.5090,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,4.515780,135.473400,extrusion,1,46
377.5900,127.1110,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275760,135.472938,extrusion,1,47
375.4350,125.9610,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275760,135.472699,extrusion,1,48
373.7630,124.1800,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275790,135.475858,extrusion,1,49
372.7510,121.9570,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275750,135.475189,extrusion,1,50
372.4910,120.0000,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.222880,135.475925,extrusion,1,51
372.4910,80.0000,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,4.515780,135.473400,extrusion,1,52
372.8890,77.5900,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275760,135.472938,extrusion,1,53
374.0390,75.4350,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.275760,135.472699,extrusion,1,54
374.5860,75.7420,100.4500,0.500000,0.500000,0.500000,0.500000,3120.0000,0.000000,0.000000,travel,2,56
374.6380,75.6500,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.011930,135.467148,extrusion,3,58
376.4000,74.1080,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.264340,135.474780,extrusion,3,59
378.5760,73.2430,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.264360,135.475233,extrusion,3,60
380.0000,73.0950,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.161630,135.475321,extrusion,3,61
420.0000,73.0950,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,4.515780,135.473400,extrusion,3,62
422.3080,73.4920,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.264390,135.474894,extrusion,3,63
424.3500,74.6380,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.264350,135.471603,extrusion,3,64
425.8920,76.4000,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.264340,135.474780,extrusion,3,65
426.7570,78.5760,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.264360,135.475233,extrusion,3,66
426.9050,80.0000,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.161630,135.475321,extrusion,3,67
426.9050,120.0000,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,4.515780,135.473400,extrusion,3,68
426.5080,122.3080,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.264390,135.474894,extrusion,3,69
425.3620,124.3500,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.264350,135.471603,extrusion,3,70
423.6000,125.8920,100.4500,0.500000,0.500000,0.500000,0.500000,1200.0000,0.264340,135.474780,extrusion,3,71
