# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
74.0390,75.4350,0.0000,0.500000,0.500000,0.500000,0.500000,300.0000,0.000000,0.000000,travel,0,26
75.8200,73.7630,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.308541,extrusion,1,30
78.0430,72.7510,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,31
80.0000,72.4910,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,32
120.0000,72.4910,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,33
122.4100,72.8890,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868234,extrusion,1,34
124.5650,74.0390,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,35
126.2370,75.8200,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,36
127.2490,78.0430,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,37
127.5090,80.0000,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,38
127.5090,120.0000,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,39
127.1110,122.4100,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868234,extrusion,1,40
125.9610,124.5650,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,41
124.1800,126.2370,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,42
121.9570,127.2490,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,43
120.0000,127.5090,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,44
80.0000,127.5090,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,45
77.5900,127.1110,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868234,extrusion,1,46
75.4350,125.9610,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,47
73.7630,124.1800,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,48
72.7510,121.9570,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,49
72.4910,120.0000,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,50
