# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
574.0390,75.4350,79.0000,0.500000,0.500000,0.500000,0.500000,300.0000,0.000000,0.000000,travel,0,26
575.8200,73.7630,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.308541,extrusion,1,30
578.0430,72.7510,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,31
580.0000,72.4910,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,32
620.0000,72.4910,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,33
622.4100,72.8890,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868234,extrusion,1,34
624.5650,74.0390,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,35
626.2370,75.8200,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,36
627.2490,78.0430,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,37
627.5090,80.0000,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,38
627.5090,120.0000,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,39
627.1110,122.4100,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868234,extrusion,1,40
625.9610,124.5650,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,41
624.1800,126.2370,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,42
621.9570,127.2490,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,43
620.0000,127.5090,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,44
580.0000,127.5090,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,45
577.5900,127.1110,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868234,extrusion,1,46
575.4350,125.9610,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,47
573.7630,124.1800,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,48
572.7510,121.9570,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,49
572.4910,120.0000,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,50
572.4910,80.0000,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,51
572.8890,77.5900,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868234,extrusion,1,52
574.0390,75.4350,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,53
574.5860,75.7420,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.000000,0.000000,travel,2,54
574.6380,75.6500,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.011930,33.866787,extrusion,3,55
576.4000,74.1080,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264340,33.868695,extrusion,3,56
578.5760,73.2430,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264360,33.868808,extrusion,3,57
580.0000,73.0950,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.161630,33.868830,extrusion,3,58
620.0000,73.0950,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,3,59
622.3080,73.4920,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264390,33.868723,extrusion,3,60
624.3500,74.6380,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264350,33.867901,extrusion,3,61
625.8920,76.4000,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264340,33.868695,extrusion,3,62
626.7570,78.5760,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264360,33.868808,extrusion,3,63
626.9050,80.0000,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.161630,33.868830,extrusion,3,64
626.9050,120.0000,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,3,65
626.5080,122.3080,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264390,33.868723,extrusion,3,66
625.3620,124.3500,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264350,33.867901,extrusion,3,67
623.6000,125.8920,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264340,33.868695,extrusion,3,68
621.4240,126.7570,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264360,33.868808,extrusion,3,69
620.0000,126.9050,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.161630,33.868830,extrusion,3,70
580.0000,126.9050,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,3,71
577.6920,126.5080,79.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.264390,33.868723,extrusion,3,72
