# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
2.9910,3.1860,0.0000,0.500000,0.500000,0.500000,0.500000,600.0000,0.000000,0.000000,travel,0,26
3.6800,2.5380,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.106780,30.583213,extrusion,1,31
5.9040,1.5260,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275850,33.868459,extrusion,1,32
7.8610,1.2670,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222860,33.868197,extrusion,1,33
47.8610,1.2670,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,34
50.2710,1.6640,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275740,33.868034,extrusion,1,35
52.4260,2.8140,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,36
54.0980,4.5950,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,37
55.1100,6.8180,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,38
55.3690,8.7760,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222970,33.867906,extrusion,1,39
55.3690,48.7760,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,40
54.9720,51.1860,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275740,33.868034,extrusion,1,41
53.8220,53.3410,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,42
52.0410,55.0130,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,43
49.8180,56.0250,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275750,33.868797,extrusion,1,44
47.8610,56.2840,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222860,33.868197,extrusion,1,45
7.8610,56.2840,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,4.515780,33.868350,extrusion,1,46
5.4500,55.8870,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275850,33.867863,extrusion,1,47
3.2950,54.7370,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275760,33.868175,extrusion,1,48
1.6230,52.9560,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275790,33.868964,extrusion,1,49
0.6120,50.7330,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.275700,33.868399,extrusion,1,50
0.3520,48.7760,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.222880,33.868981,extrusion,1,51
