# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
6.3650,6.1450,0.0000,0.500000,0.500000,0.500000,0.500000,900.0000,0.000000,0.000000,travel,0,27
8.1460,4.4730,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262000,94.929159,extrusion,1,31
10.3690,3.4610,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,32
12.3270,3.2020,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.211820,96.522848,extrusion,1,33
47.3270,3.2020,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,3.753740,96.524743,extrusion,1,34
49.7370,3.5990,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,35
51.8920,4.7490,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,36
53.5640,6.5300,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262000,96.526364,extrusion,1,37
54.5760,8.7530,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,38
54.8350,10.7110,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.211820,96.522848,extrusion,1,39
54.8350,40.7110,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,3.217490,96.524700,extrusion,1,40
54.4380,43.1210,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,41
53.2880,45.2760,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,42
51.5070,46.9480,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262000,96.526364,extrusion,1,43
49.2840,47.9600,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,44
47.3270,48.2190,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.211720,96.525729,extrusion,1,45
12.3270,48.2190,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,3.753740,96.524743,extrusion,1,46
9.9160,47.8220,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262060,96.524332,extrusion,1,47
7.7610,46.6720,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,48
6.0890,44.8910,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262000,96.526364,extrusion,1,49
5.0780,42.6680,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261910,96.523094,extrusion,1,50
4.8180,40.7110,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.211730,96.523861,extrusion,1,51
4.8180,10.7110,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,3.217490,96.524700,extrusion,1,52
5.2150,8.3000,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262060,96.524332,extrusion,1,53
6.3650,6.1450,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,54
