# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
-741.6350,-243.8550,-532.2000,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.000000,0.000000,travel,0,27
-739.8540,-245.5270,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262000,94.929159,extrusion,1,31
-737.6310,-246.5390,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,32
-735.6730,-246.7980,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.211820,96.522848,extrusion,1,33
-700.6730,-246.7980,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.753740,96.524743,extrusion,1,34
-698.2630,-246.4010,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,35
-696.1080,-245.2510,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,36
-694.4360,-243.4700,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262000,96.526364,extrusion,1,37
-693.4240,-241.2470,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,38
-693.1650,-239.2890,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.211820,96.522848,extrusion,1,39
-693.1650,-209.2890,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.217490,96.524700,extrusion,1,40
-693.5620,-206.8790,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,41
-694.7120,-204.7240,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,42
-696.4930,-203.0520,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262000,96.526364,extrusion,1,43
-698.7160,-202.0400,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,44
-700.6730,-201.7810,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.211720,96.525729,extrusion,1,45
-735.6730,-201.7810,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.753740,96.524743,extrusion,1,46
-738.0840,-202.1780,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262060,96.524332,extrusion,1,47
-740.2390,-203.3280,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,48
-741.9110,-205.1090,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262000,96.526364,extrusion,1,49
-742.9220,-207.3320,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261910,96.523094,extrusion,1,50
-743.1820,-209.2890,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.211730,96.523861,extrusion,1,51
-743.1820,-239.2890,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.217490,96.524700,extrusion,1,52
-742.7850,-241.7000,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262060,96.524332,extrusion,1,53
-741.6350,-243.8550,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,54
-741.0870,-243.5480,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.000000,0.000000,travel,2,55
-741.0360,-243.6400,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.011280,96.510797,extrusion,3,56
-739.2730,-245.1820,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251200,96.524352,extrusion,3,57
-737.0970,-246.0460,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251100,96.525180,extrusion,3,58
-735.6730,-246.1950,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.153560,96.526402,extrusion,3,59
-700.6730,-246.1950,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.753740,96.524743,extrusion,3,60
-698.3660,-245.7980,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251060,96.524016,extrusion,3,61
-696.3230,-244.6520,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251230,96.525042,extrusion,3,62
-694.7810,-242.8890,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251200,96.524352,extrusion,3,63
-693.9170,-240.7130,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251100,96.525180,extrusion,3,64
-693.7680,-239.2890,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.153560,96.526402,extrusion,3,65
-693.7680,-209.2890,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.217490,96.524700,extrusion,3,66
-694.1650,-206.9820,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251060,96.524016,extrusion,3,67
-695.3110,-204.9390,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251230,96.525042,extrusion,3,68
-697.0730,-203.3970,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251120,96.524628,extrusion,3,69
-699.2500,-202.5330,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251200,96.525302,extrusion,3,70
-700.6730,-202.3840,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.153450,96.524307,extrusion,3,71
-735.6730,-202.3840,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,3.753740,96.524743,extrusion,3,72
-737.9810,-202.7810,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251170,96.525670,extrusion,3,73
-740.0240,-203.9270,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251230,96.525042,extrusion,3,74
