# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
12.4840,11.6250,0.0000,0.500000,0.500000,0.500000,0.500000,600.0000,0.000000,0.000000,travel,0,26
12.6640,11.4320,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.029790,17.131224,extrusion,1,31
14.5200,9.7970,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279240,33.868466,extrusion,1,32
16.5280,8.3530,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279220,33.868147,extrusion,1,33
18.6700,7.1160,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279250,33.868650,extrusion,1,34
20.9230,6.0950,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279250,33.868326,extrusion,1,35
23.2660,5.3020,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279250,33.868193,extrusion,1,36
25.6830,4.7430,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.280070,33.868506,extrusion,1,37
28.1360,4.4280,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279200,33.867842,extrusion,1,38
30.6070,4.3550,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279080,33.867862,extrusion,1,39
33.0730,4.5280,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279080,33.868098,extrusion,1,40
35.5110,4.9430,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279200,33.868852,extrusion,1,41
37.8990,5.5970,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279520,33.868401,extrusion,1,42
40.2080,6.4840,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279250,33.868879,extrusion,1,43
42.4180,7.5940,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279200,33.868490,extrusion,1,44
44.2040,8.7070,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.237580,33.868785,extrusion,1,45
46.1760,10.2020,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279370,33.868051,extrusion,1,46
47.9890,11.8830,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279120,33.868394,extrusion,1,47
49.6280,13.7360,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279280,33.867868,extrusion,1,48
51.0760,15.7420,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279300,33.868053,extrusion,1,49
52.3180,17.8800,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279140,33.868389,extrusion,1,50
53.3430,20.1320,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279330,33.867848,extrusion,1,51
54.1410,22.4730,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279220,33.868465,extrusion,1,52
54.7030,24.8820,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279270,33.868883,extrusion,1,53
55.0260,27.3350,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279320,33.868270,extrusion,1,54
55.1060,29.5430,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.249430,33.867723,extrusion,1,55
54.9650,32.0180,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279870,33.868720,extrusion,1,56
54.5810,34.4600,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279080,33.868832,extrusion,1,57
53.9570,36.8540,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279300,33.868407,extrusion,1,58
53.1000,39.1740,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279210,33.867906,extrusion,1,59
52.0170,41.3990,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279370,33.868867,extrusion,1,60
50.7200,43.5050,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279230,33.868682,extrusion,1,61
49.2220,45.4730,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279220,33.868623,extrusion,1,62
47.5360,47.2830,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279260,33.868858,extrusion,1,63
45.6800,48.9180,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279240,33.868466,extrusion,1,64
43.6720,50.3610,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279160,33.868862,extrusion,1,65
41.5310,51.5990,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279210,33.868803,extrusion,1,66
39.2780,52.6190,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279200,33.867911,extrusion,1,67
36.9350,53.4120,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279250,33.868193,extrusion,1,68
34.5170,53.9710,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.280180,33.868507,extrusion,1,69
32.0650,54.2870,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279110,33.868760,extrusion,1,70
29.5940,54.3590,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279080,33.868264,extrusion,1,71
27.1270,54.1870,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279190,33.868736,extrusion,1,72
24.6890,53.7720,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279200,33.868852,extrusion,1,73
22.3020,53.1170,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279440,33.868284,extrusion,1,74
19.9930,52.2300,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279250,33.868879,extrusion,1,75
17.7820,51.1200,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279300,33.868382,extrusion,1,76
15.9960,50.0070,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.237580,33.868785,extrusion,1,77
14.0250,48.5130,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279210,33.867828,extrusion,1,78
12.2110,46.8310,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279280,33.868449,extrusion,1,79
10.5720,44.9780,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279280,33.867868,extrusion,1,80
9.1250,42.9730,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279140,33.867763,extrusion,1,81
7.8820,40.8340,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279290,33.867864,extrusion,1,82
6.8570,38.5830,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279230,33.868181,extrusion,1,83
6.0590,36.2410,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279330,33.868846,extrusion,1,84
5.4970,33.8320,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279270,33.868883,extrusion,1,85
5.1740,31.3790,0.4500,0.500000,0.500000,0.500000,0.500000,300.0000,0.279320,33.868270,extrusion,1,86
