# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
-735.5160,-238.3750,-532.2000,0.500000,-0.500000,-0.500000,0.500000,600.0000,0.000000,0.000000,travel,0,26
-735.3360,-238.5680,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.029790,17.131224,extrusion,1,31
-733.4800,-240.2030,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279240,33.868466,extrusion,1,32
-731.4720,-241.6470,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279220,33.868147,extrusion,1,33
-729.3300,-242.8840,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279250,33.868650,extrusion,1,34
-727.0770,-243.9050,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279250,33.868326,extrusion,1,35
-724.7340,-244.6980,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279250,33.868193,extrusion,1,36
-722.3170,-245.2570,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.280070,33.868506,extrusion,1,37
-719.8640,-245.5720,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279200,33.867842,extrusion,1,38
-717.3930,-245.6450,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279080,33.867862,extrusion,1,39
-714.9270,-245.4720,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279080,33.868098,extrusion,1,40
-712.4890,-245.0570,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279200,33.868852,extrusion,1,41
-710.1010,-244.4030,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279520,33.868401,extrusion,1,42
-707.7920,-243.5160,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279250,33.868879,extrusion,1,43
-705.5820,-242.4060,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279200,33.868490,extrusion,1,44
-703.7960,-241.2930,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.237580,33.868785,extrusion,1,45
-701.8240,-239.7980,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279370,33.868051,extrusion,1,46
-700.0110,-238.1170,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279120,33.868394,extrusion,1,47
-698.3720,-236.2640,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279280,33.867868,extrusion,1,48
-696.9240,-234.2580,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279300,33.868053,extrusion,1,49
-695.6820,-232.1200,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279140,33.868389,extrusion,1,50
-694.6570,-229.8680,-531.7500,0.500000,-0.500000,-0.500000,0.500000,300.0000,0.279330,33.867848,extrusion,1,51
