# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
4.4380,4.5940,0.0000,0.500000,0.500000,0.500000,0.500000,900.0000,0.000000,0.000000,travel,0,27
6.2190,2.9220,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262000,94.929159,extrusion,1,31
8.4420,1.9100,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,32
10.3990,1.6510,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.211720,96.525729,extrusion,1,33
50.3990,1.6510,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,4.289990,96.524775,extrusion,1,34
52.8090,2.0480,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,35
54.9650,3.1980,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262070,96.525542,extrusion,1,36
56.6360,4.9790,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261920,96.523931,extrusion,1,37
57.6480,7.2020,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,38
57.9080,9.1590,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.211730,96.523861,extrusion,1,39
57.9080,89.1590,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,8.579980,96.524775,extrusion,1,40
57.5100,91.5700,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262080,96.525272,extrusion,1,41
56.3600,93.7250,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,42
54.5800,95.3970,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261920,96.525695,extrusion,1,43
52.3560,96.4080,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262010,96.523967,extrusion,1,44
50.3990,96.6680,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.211730,96.523861,extrusion,1,45
10.3990,96.6680,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,4.289990,96.524775,extrusion,1,46
7.9890,96.2710,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,47
5.8340,95.1210,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,48
4.1620,93.3400,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.262000,96.526364,extrusion,1,49
3.1500,91.1170,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,50
2.8910,89.1590,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.211820,96.522848,extrusion,1,51
2.8910,9.1590,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,8.579980,96.524775,extrusion,1,52
3.2880,6.7490,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,53
4.4380,4.5940,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,54
4.9850,4.9010,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.000000,0.000000,travel,2,55
5.0370,4.8090,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.011330,96.490536,extrusion,3,56
6.7990,3.2670,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.251120,96.524628,extrusion,3,57
8.9760,2.4030,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.251200,96.525302,extrusion,3,58
10.3990,2.2540,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.153450,96.524307,extrusion,3,59
50.3990,2.2540,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,4.289990,96.524775,extrusion,3,60
52.7070,2.6510,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.251170,96.525670,extrusion,3,61
54.7500,3.7970,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.251230,96.525042,extrusion,3,62
56.2920,5.5590,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.251120,96.524628,extrusion,3,63
57.1560,7.7360,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.251200,96.525302,extrusion,3,64
57.3040,9.1590,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.153440,96.525019,extrusion,3,65
57.3040,89.1590,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,8.579980,96.524775,extrusion,3,66
56.9070,91.4670,0.4500,0.500000,0.500000,0.500000,0.500000,900.0000,0.251170,96.525670,extrusion,3,67
