# G-code interpreter output — auto-generated by gcode_interpreter.py
# Units: X/Y/Z in mm | Toolhead_Speed in mm/min | Extrusion_Length in mm | Extrusion_Speed in mm/min
X,Y,Z,QX,QY,QZ,QW,Toolhead_Speed_mm_per_min,Extrusion_Length_mm,Extrusion_Speed_mm_per_min,Move_Type,Segment_ID,GCode_Line
-743.5620,-245.4060,-532.2000,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.000000,0.000000,travel,0,27
-741.7810,-247.0780,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262000,94.929159,extrusion,1,31
-739.5580,-248.0900,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,32
-737.6010,-248.3490,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.211720,96.525729,extrusion,1,33
-697.6010,-248.3490,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,4.289990,96.524775,extrusion,1,34
-695.1910,-247.9520,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,35
-693.0350,-246.8020,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262070,96.525542,extrusion,1,36
-691.3640,-245.0210,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261920,96.523931,extrusion,1,37
-690.3520,-242.7980,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,38
-690.0920,-240.8410,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.211730,96.523861,extrusion,1,39
-690.0920,-160.8410,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,8.579980,96.524775,extrusion,1,40
-690.4900,-158.4300,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262080,96.525272,extrusion,1,41
-691.6400,-156.2750,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,42
-693.4200,-154.6030,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261920,96.525695,extrusion,1,43
-695.6440,-153.5920,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262010,96.523967,extrusion,1,44
-697.6010,-153.3320,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.211730,96.523861,extrusion,1,45
-737.6010,-153.3320,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,4.289990,96.524775,extrusion,1,46
-740.0110,-153.7290,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,47
-742.1660,-154.8790,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,48
-743.8380,-156.6600,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.262000,96.526364,extrusion,1,49
-744.8500,-158.8830,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.525151,extrusion,1,50
-745.1090,-160.8410,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.211820,96.522848,extrusion,1,51
-745.1090,-240.8410,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,8.579980,96.524775,extrusion,1,52
-744.7120,-243.2510,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261960,96.526478,extrusion,1,53
-743.5620,-245.4060,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.261970,96.523561,extrusion,1,54
-743.0150,-245.0990,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.000000,0.000000,travel,2,55
-742.9630,-245.1910,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.011330,96.490536,extrusion,3,56
-741.2010,-246.7330,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251120,96.524628,extrusion,3,57
-739.0240,-247.5970,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251200,96.525302,extrusion,3,58
-737.6010,-247.7460,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.153450,96.524307,extrusion,3,59
-697.6010,-247.7460,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,4.289990,96.524775,extrusion,3,60
-695.2930,-247.3490,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251170,96.525670,extrusion,3,61
-693.2500,-246.2030,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251230,96.525042,extrusion,3,62
-691.7080,-244.4410,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251120,96.524628,extrusion,3,63
-690.8440,-242.2640,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251200,96.525302,extrusion,3,64
-690.6960,-240.8410,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.153440,96.525019,extrusion,3,65
-690.6960,-160.8410,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,8.579980,96.524775,extrusion,3,66
-691.0930,-158.5330,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251170,96.525670,extrusion,3,67
-692.2380,-156.4900,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251180,96.525984,extrusion,3,68
-694.0010,-154.9480,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251200,96.524352,extrusion,3,69
-696.1770,-154.0840,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.251100,96.525180,extrusion,3,70
-697.6010,-153.9350,-531.7500,0.500000,-0.500000,-0.500000,0.500000,900.0000,0.153560,96.526402,extrusion,3,71
